#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-29T15:41:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61f55e983eb8ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:B/gcvs&tab:{B/gcvs/gcvs_cat}&key:source=B/gcvs/gcvs_cat&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/gcvs/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#-out=magMax
#magMax=<14.2
#-out=Epoch
#-out=Period
#Period=<3
#-out=SpType
#-out=Exists
#-out=VarName
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_102025
#Name: B/gcvs
#Title: General Catalogue of Variable Stars (Samus+, 2007-2017)
#Table	B_gcvs_gcvs_cat:
#Name: B/gcvs/gcvs_cat
#Title: GCVS catalog (GCVS 5.1, version Oct, 2020)
#Column	GCVS	(A10)	Variable star designation (2)	[ucd=meta.id;meta.main]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A11)	? Hours RA, equinox J2000.0 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degrees Dec, equinox J2000.0 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Epoch	(F11.5)	? Epoch for maximum light, Julian days (G5)	[ucd=time.epoch]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	Spectral type	[ucd=src.spType]
#Column	Exists	(A12)	Cases of non-existence of the variable etc. (12)	[ucd=meta.note]
#Column	VarName	(A11)	Variable star designation (17)	[ucd=meta.id]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Epoch|Period|SpType|Exists|VarName
V0494 Gem |x|07 19 59.51|+25 43 39.9|EW        |11.500|52623.00300|    0.3822220000|                 |            |V0494 Gem
V0495 Gem |x|07 20 29.54|+23 40 07.2|EA        |11.830|54136.58100|    0.8684000000|                 |            |V0495 Gem
V0496 Gem |x|07 21 24.57|+25 59 07.1|EW        |10.600|54801.79800|    0.4439350000|G0               |            |V0496 Gem
V0497 Gem |x|07 25 13.28|+30 49 40.8|EB        |11.960|57098.82800|    0.6482975000|                 |            |V0497 Gem
V0498 Gem |x|07 26 26.97|+18 41 22.9|EA        |11.800|54560.51300|    0.7427580000|                 |            |V0498 Gem
V0499 Gem |x|07 27 09.79|+29 17 16.4|EB        | 9.570|51606.85000|    0.9356000000|A2               |            |V0499 Gem
V0500 Gem |x|07 27 40.13|+26 23 03.7|ELL/RS    |11.420|54820.73800|    0.3652300000|                 |            |V0500 Gem
V0501 Gem |x|07 30 45.07|+15 05 24.0|EB        |12.320|55957.51130|    0.8404650000|                 |            |V0501 Gem
V0502 Gem |x|07 30 58.16|+25 34 12.2|EB        |13.410|55824.00100|    0.6581450000|                 |            |V0502 Gem
V0503 Gem |x|07 32 04.88|+15 04 24.9|EB        |12.600|54905.57600|    0.4484990000|                 |            |V0503 Gem
V0504 Gem |x|07 34 30.89|+33 59 00.1|EW        |12.130|56014.63200|    0.4437390000|                 |            |V0504 Gem
V0505 Gem |x|07 41 02.48|+30 47 25.2|EW        |12.050|56307.78900|    0.3528840000|                 |            |V0505 Gem
V0507 Gem |x|07 43 15.38|+30 38 40.1|EW        |12.700|55861.96200|    0.2720760000|                 |            |V0507 Gem
V0508 Gem |x|07 45 02.24|+31 43 33.6|EW        |10.960|56354.65300|    0.3634445000|                 |            |V0508 Gem
V0509 Gem |x|07 45 33.49|+27 42 41.6|EW        |12.200|53075.57000|    0.6469500000|                 |            |V0509 Gem
V0510 Gem |x|07 46 58.64|+22 44 48.2|EW        |13.950|56003.68900|    0.2208494000|                 |            |V0510 Gem
V0511 Gem |x|07 47 06.24|+19 31 23.3|EW        |11.600|54561.54900|    0.3665390000|                 |            |V0511 Gem
V0514 Gem |*|07 49 00.85|+28 34 26.3|EA        | 7.910|47969.18500|    2.8499470000|F0               |            |V0514 Gem
V0515 Gem |x|07 51 02.15|+34 24 05.8|EW        |13.880|56403.67300|    0.2091720000|                 |            |V0515 Gem
V0518 Gem |x|07 57 34.38|+26 51 51.5|EW        |12.200|56036.64000|    0.2991930000|                 |            |V0518 Gem
V0519 Gem |x|08 00 15.52|+28 20 58.4|DSCTC:    |10.050|           |    0.1117400000|                 |            |V0519 Gem
V0521 Gem |x|08 06 06.53|+30 08 53.7|EW        |11.180|57853.57400|    0.4129407000|                 |            |V0521 Gem
ome Gem   |x|07 02 24.78|+24 12 55.6|CEP:      | 5.140|           |    0.7282000000|G5II             |            |ome   Gem
U Gru     |*|21 31 48.77|-45 02 42.4|EA/SD     |11.000|11202.75400|    1.8804800000|A5               |            |U     Gru
V Gru     |x|21 51 53.45|-42 22 23.6|EW/KW     | 9.500|44463.80400|    0.4834455000|F2V              |            |V     Gru
W Gru     |*|22 41 18.67|-43 50 28.6|EA/AR     | 9.400|30132.14900|    2.9685036000|F6IV+F6IV        |            |W     Gru
X Gru     |*|23 19 42.36|-55 36 41.5|EA/SD     |10.640|41858.82350|    2.1236413000|A0               |            |X     Gru
Y Gru     |x|22 47 20.06|-47 54 57.9|EA/SD     |10.400|27987.53500|    1.7168970000|                 |            |Y     Gru
Z Gru     |*|21 34 37.12|-49 07 28.6|RR        |11.800|39773.36200|    0.2663870000|F0-F7:           |            |Z     Gru
RR Gru    |x|21 38 03.56|-44 41 12.2|RRAB      |12.000|34385.58200|    0.5525320000|                 |            |RR    Gru
RS Gru    |*|21 43 04.22|-48 11 22.2|DSCT      | 7.920|34325.29310|    0.1470113100|A6-A9IV-F0       |            |RS    Gru
RT Gru    |*|21 51 58.44|-45 59 06.7|RRAB      |12.150|41151.55500|    0.5121749000|F0:-F6           |            |RT    Gru
RU Gru    |x|22 27 00.55|-37 11 18.1|EA        |11.000|34546.64800|    1.8966400000|A0               |            |RU    Gru
RV Gru    |*|22 39 24.41|-46 52 32.1|EW/KW     |11.000|34356.43400|    0.2595186000|                 |            |RV    Gru
RW Gru    |*|22 42 06.96|-44 09 12.4|RRAB      |11.760|34360.38800|    0.5503060000|F3-F5            |            |RW    Gru
RX Gru    |*|22 58 16.71|-41 49 34.3|EB/KE     |10.500|34357.41000|    0.7431280000|                 |            |RX    Gru
RY Gru    |*|23 19 25.58|-40 17 26.4|EA/SD:    |11.700|34275.28100|    2.0106300000|                 |            |RY    Gru
SS Gru    |x|21 28 06.31|-37 09 35.5|RRAB      |11.800|28336.62800|    0.4896194000|                 |            |SS    Gru
TT Gru    |x|22 10 25.60|-43 41 35.8|RRAB      |13.300|28016.55000|    0.4760338000|                 |            |TT    Gru
TZ Gru    |x|22 17 20.62|-50 34 35.0|RRAB      |12.600|27992.55400|    0.7024718000|                 |            |TZ    Gru
UW Gru    |*|22 20 13.13|-54 33 28.7|RRAB      |12.600|43689.64000|    0.5482104000|                 |            |UW    Gru
VV Gru    |x|22 27 27.28|-49 38 35.4|RRAB      |13.600|36814.47800|    0.4521300000|                 |            |VV    Gru
XZ Gru    |x|22 47 34.69|-39 03 33.0|RRC       |10.400|38260.43800|    0.3474100000|                 |            |XZ    Gru
AK Gru    |*|23 05 01.89|-43 56 08.8|EA        |11.000|36732.60700|    0.4938900000|                 |            |AK    Gru
AO Gru    |x|23 08 10.82|-48 22 08.4|RRAB      |12.500|36813.27600|    0.5725000000|                 |            |AO    Gru
AP Gru    |*|23 14 12.51|-50 39 11.4|RRAB      |12.400|27992.64300|    0.5079836000|                 |            |AP    Gru
AR Gru    |*|22 36 41.66|-38 18 09.0|EB        |10.000|27994.60000|    2.2967200000|                 |            |AR    Gru
BB Gru    |x|22 39 27.64|-45 35 29.0|RRAB      |13.800|36781.49800|    0.5970000000|                 |            |BB    Gru
BC Gru    |*|22 44 49.12|-48 10 13.1|EW:/KW:   | 9.900|36814.29200|    0.2661700000|                 |            |BC    Gru
BE Gru    |x|22 50 40.21|-44 39 46.1|RRAB      |13.100|36813.30000|    0.6054000000|                 |            |BE    Gru
BG Gru    |x|23 07 52.29|-49 45 48.0|RRAB      |14.000|36816.28700|    0.5602950000|                 |            |BG    Gru
BK Gru    |x|22 24 37.60|-39 07 37.4|ACV       | 6.820|           |    2.4800000000|A3p(Sr)          |            |BK    Gru
DR Gru    |x|22 34 18.66|-54 17 52.5|DSCTC     | 7.440|           |    0.0666000000|A3IV             |            |DR    Gru
DT Gru    |x|21 28 18.11|-44 09 17.4|EA        |10.910|52831.72000|    0.8016830000|                 |            |DT    Gru
DU Gru    |x|22 03 01.00|-39 21 23.5|EB        |11.790|52996.53500|    0.6019540000|                 |            |DU    Gru
DY Gru    |x|23 23 14.33|-37 30 56.1|EW        | 9.370|52992.61200|    0.3360290000|K1V              |            |DY    Gru
DZ Gru    |x|21 33 32.46|-49 18 38.0|RRAB      |13.350|52955.65000|    0.5670540000|                 |            |DZ    Gru
EE Gru    |x|21 38 29.66|-49 00 53.3|RRAB      |13.100|52757.89700|    0.4774800000|                 |            |EE    Gru
EF Gru    |x|21 43 17.58|-39 52 10.7|RRAB      |13.800|52929.62000|    0.6306750000|                 |            |EF    Gru
EG Gru    |x|21 46 19.42|-42 50 49.4|RRAB      |12.350|52982.57900|    0.6154200000|                 |            |EG    Gru
EH Gru    |x|21 47 30.59|-37 15 50.8|EW        |11.850|52177.53100|    0.4213470000|                 |            |EH    Gru
EI Gru    |x|21 56 16.94|-40 08 27.2|RS        |11.600|           |    2.7388000000|                 |            |EI    Gru
EK Gru    |x|22 20 07.48|-48 37 38.4|BY        | 9.900|           |    2.9010000000|G4V              |            |EK    Gru
EL Gru    |x|22 23 26.14|-47 10 08.9|EB        |12.350|52566.65200|    0.7839100000|                 |            |EL    Gru
EN Gru    |*|23 15 23.68|-50 18 28.4|EW        |11.480|51868.15200|    0.4183440000|                 |            |EN    Gru
EP Gru    |x|23 23 57.42|-53 18 10.6|RRC       |12.520|52069.79800|    0.3697100000|                 |            |EP    Gru
EQ Gru    |x|21 30 12.06|-44 15 20.5|RRC       |13.780|54349.11800|    0.3002908000|                 |            |EQ    Gru
ES Gru    |*|21 38 25.82|-39 44 56.0|RRC       |13.100|54615.93000|    0.4108300000|                 |            |ES    Gru
ET Gru    |x|21 46 00.39|-40 15 53.9|RRAB      |13.850|54662.08370|    0.6698285000|                 |            |ET    Gru
EU Gru    |x|21 57 36.58|-45 32 36.5|RRC       |13.900|54364.42000|    0.3166000000|                 |            |EU    Gru
EV Gru    |x|22 10 39.19|-50 49 46.5|RRC       |12.400|55041.71600|    0.3306420000|                 |            |EV    Gru
EW Gru    |x|22 16 52.42|-51 44 00.6|RRAB      |12.500|53109.89900|    0.6401690000|                 |            |EW    Gru
EZ Gru    |x|23 19 17.06|-37 40 48.1|RRC       |13.680|54338.42000|    0.3447500000|                 |            |EZ    Gru
FF Gru    |x|23 19 59.89|-45 00 46.0|RRAB:     |14.000|53954.56000|    0.6252700000|                 |            |FF    Gru
FG Gru    |x|23 23 42.55|-41 57 24.2|RRC:      |12.700|           |    0.4424689000|                 |            |FG    Gru
FO Gru    |*|23 18 01.15|-45 19 55.1|DSCT      |12.790|54200.10200|    0.1150105000|                 |            |FO    Gru
RX Her    |*|18 30 39.26|+12 36 40.4|EA/DM     | 7.280|33170.39800|    1.7785724000|A0V+A0V          |            |RX    Her
SW Her    |*|16 58 27.50|+21 32 51.2|RRAB      |13.520|31699.09300|    0.4928727700|                 |            |SW    Her
SZ Her    |*|17 39 36.81|+32 56 46.8|EA/SD     | 9.860|41864.30517|    0.8180982800|F0V              |            |SZ    Her
TT Her    |*|16 54 22.97|+16 50 13.2|EB/KE     | 9.610|39995.90800|    0.9120754600|A7V-F2V          |            |TT    Her
TU Her    |*|17 13 35.37|+30 42 36.0|EA/SD     |10.880|44061.46200|    2.2670005000|F5               |            |TU    Her
TW Her    |*|17 54 31.20|+30 24 37.7|RRAB      |10.520|21545.23400|    0.3996001040|A4-F6            |            |TW    Her
TX Her    |*|17 18 36.45|+41 53 17.1|EA/DM     | 8.540|40008.36430|    2.0598094400|A5+F0            |            |TX    Her
UX Her    |*|17 54 07.86|+16 56 37.9|EA/SD     | 9.050|39672.37853|    1.5488479000|A3V              |            |UX    Her
VX Her    |*|16 30 40.80|+18 22 00.6|RRAB      | 9.890|21750.48270|    0.4553728200|A4-F4            |            |VX    Her
VZ Her    |*|17 13 04.00|+35 58 43.0|RRAB      |10.720|36788.89800|    0.4403278900|A6-F4            |            |VZ    Her
AF Her    |*|16 39 38.11|+41 06 45.3|RRAB      |12.230|27663.30950|    0.6303455400|A                |            |AF    Her
AG Her    |*|16 40 32.85|+40 37 06.1|RRAB      |11.990|27662.20900|    0.6494465000|A3               |            |AG    Her
AK Her    |*|17 13 57.82|+16 21 00.6|EW/KW     | 8.290|42186.46000|    0.4215220100|F2+F6            |            |AK    Her
AM Her    |*|18 16 13.34|+49 52 04.1|AM/XRM+E  |12.300|43014.71266|    0.1289270000|pec+M4.5V        |            |AM    Her
AR Her    |*|16 00 32.23|+46 55 25.7|RRAB      |10.590|41454.34700|    0.4700280000|A7-F3            |            |AR    Her
BD Her    |*|18 50 32.19|+16 31 50.9|RRAB      |12.090|32628.01500|    0.4739064000|F2-F6            |            |BD    Her
BL Her    |*|18 01 09.22|+19 14 56.7|CWB       | 9.700|41841.28900|    1.3074502000|F0-F6II-III      |            |BL    Her
CC Her    |*|16 17 38.89|+08 56 02.6|EA/SD     |10.200|39668.34200|    1.7340058000|A0:              |            |CC    Her
CE Her    |*|17 41 56.56|+15 04 30.2|CWB       |11.530|27861.66800|    1.2094357000|F5               |            |CE    Her
CK Her    |*|18 38 49.44|+23 29 24.0|RRAB      |13.900|36076.29800|    0.5191808000|                 |            |CK    Her
CM Her    |x|18 39 11.95|+23 29 39.8|RRAB      |13.700|29050.45200|    0.5627311000|                 |            |CM    Her
CT Her    |*|16 20 26.57|+18 27 16.8|EA/SD     |10.600|42522.93200|    1.7863748000|A3V              |            |CT    Her
CW Her    |x|16 50 38.24|+35 27 04.9|RRAB      |11.900|36721.35800|    0.6238405000|A                |            |CW    Her
DK Her    |*|17 12 43.95|+13 11 03.8|EA        |10.500|31289.32000|    1.9423040000|A1               |            |DK    Her
DL Her    |*|17 20 22.45|+14 30 38.7|RRAB      |11.000|38208.42820|    0.5916278600|A6-A7            |            |DL    Her
DP Her    |x|17 34 30.34|+15 04 30.6|EA/SD     |13.500|27605.46200|    1.7770199000|                 |            |DP    Her
DY Her    |*|16 31 17.95|+11 59 52.5|DSCT      |10.150|33439.48650|    0.1486313530|A7III-F4III      |            |DY    Her
EE Her    |x|16 12 42.61|+17 59 14.8|RRAB      |13.300|28403.25700|    0.4955363000|A2               |            |EE    Her
EP Her    |x|17 55 09.38|+26 36 18.6|RRAB      |12.440|28048.34900|    0.4257209000|                 |            |EP    Her
ES Her    |*|17 56 42.49|+32 52 30.9|EB/KE:    |13.100|44770.51200|    0.7820304000|                 |            |ES    Her
FN Her    |*|16 25 13.20|+11 17 52.8|EA/SD:    |10.500|28309.29400|    2.6912600000|A9               |            |FN    Her
FS Her    |x|17 44 13.80|+25 14 54.5|RRAB      |13.300|26216.45500|    0.4617335000|                 |            |FS    Her
GL Her    |*|18 50 28.35|+23 39 09.0|EA/SD     |11.500|38266.32600|    2.3449720000|A                |            |GL    Her
GR Her    |x|16 26 02.97|+31 47 39.6|RRAB      |14.100|27929.40000|    0.5587860000|                 |            |GR    Her
GS Her    |x|16 28 26.60|+32 08 07.3|RRAB      |13.800|27545.38700|    0.5849856000|                 |            |GS    Her
GT Her    |x|16 30 18.54|+34 27 34.4|RRAB      |13.100|36383.49100|    0.6137244600|                 |            |GT    Her
GV Her    |*|16 34 54.78|+35 15 50.8|RRC       |13.800|36380.28100|    0.2914462700|                 |            |GV    Her
GW Her    |x|16 36 58.08|+31 44 09.2|RRAB      |14.100|27636.42900|    0.5181690000|                 |            |GW    Her
GX Her    |x|16 37 07.30|+34 56 54.6|RRAB      |14.000|27605.49500|    0.5495840000|                 |            |GX    Her
GY Her    |*|16 38 18.04|+37 48 04.8|RRAB      |11.900|36387.81100|    0.5243814000|A1               |            |GY    Her
GZ Her    |x|16 38 31.36|+33 02 30.7|RRAB      |13.200|27545.41000|    0.4830495000|                 |            |GZ    Her
HM Her    |x|16 51 15.95|+30 26 59.0|RRAB      |14.000|27602.46000|    0.5771070000|                 |            |HM    Her
HN Her    |x|16 56 03.42|+32 16 03.9|RRAB      |14.000|40426.45700|    0.5158852000|                 |            |HN    Her
HO Her    |x|16 57 20.81|+30 21 27.4|RRAB      |13.200|27545.38000|    0.4726940000|                 |            |HO    Her
HS Her    |*|18 50 49.77|+24 43 11.9|EA/DM     | 8.500|45160.43400|    1.6374350000|B6III            |            |HS    Her
HZ Her    |*|16 57 49.75|+35 20 32.7|XPR+E     |12.800|41397.58400|    1.7001750000|B0Ve-F5e         |            |HZ    Her
IK Her    |*|17 00 06.80|+31 58 14.4|EA        |13.500|27589.43300|    1.0994170000|                 |            |IK    Her
IL Her    |x|17 00 48.61|+30 14 15.3|RRAB      |13.700|27666.39500|    0.5784660000|                 |            |IL    Her
IP Her    |x|17 58 14.63|+30 13 10.3|RRAB      |12.500|28038.51700|    0.4338594000|G:               |            |IP    Her
IT Her    |*|18 45 46.41|+25 19 59.4|RRC       |12.900|29733.51500|    0.2260380000|                 |            |IT    Her
IX Her    |x|18 51 40.68|+24 09 32.6|EA/SD     |14.000|25331.64200|    1.8967780000|                 |            |IX    Her
LN Her    |x|18 51 09.83|+12 25 14.0|RRAB      |14.000|           |    0.4500000000|                 |            |LN    Her
LS Her    |*|16 02 03.79|+17 28 50.4|RRC       |10.790|28004.94700|    0.2308077100|A5               |            |LS    Her
LT Her    |*|16 50 20.45|+09 56 51.9|EA/D      |10.690|40755.75940|    1.0840458000|A2V              |            |LT    Her
LW Her    |x|17 41 48.84|+25 09 25.6|RRC       |12.900|30938.32000|    0.3183600000|                 |            |LW    Her
LX Her    |x|17 43 18.67|+28 15 15.3|RRAB      |13.900|26096.48200|    0.6288720000|                 |            |LX    Her
LZ Her    |x|17 49 29.13|+29 19 15.6|SXPHE     |14.100|26096.51500|    0.1989590000|                 |            |LZ    Her
MP Her    |*|18 10 15.22|+31 25 08.9|RRC       |14.100|30939.36000|    0.3192900000|                 |            |MP    Her
MS Her    |*|18 16 53.42|+27 39 46.3|EW/KE     |12.900|26419.49800|    0.6052626000|                 |            |MS    Her
MT Her    |*|18 21 50.65|+14 30 32.5|EB/SD:    |11.860|41117.41700|    0.4877177900|F5:              |            |MT    Her
MX Her    |*|17 50 50.72|+50 02 49.8|EA/SD     |11.400|31657.41100|    2.3476536000|F5               |            |MX    Her
OS Her    |*|18 00 14.05|+34 39 24.7|RRAB      |13.260|29965.24600|    0.3961410000|                 |            |OS    Her
OW Her    |x|18 03 00.81|+36 28 45.3|RRAB      |13.600|29373.54300|    0.5832163000|                 |            |OW    Her
OX Her    |*|18 03 26.28|+38 41 39.9|RRAB      |12.880|29374.48800|    0.7573670000|A8-F5            |            |OX    Her
PW Her    |*|18 10 24.11|+33 24 11.2|EA/AR:/RS | 9.840|44785.43300|    2.8809877000|K0IV-V           |            |PW    Her
PX Her    |x|18 11 20.33|+31 19 07.8|RRAB      |13.800|26099.51000|    0.5839212000|                 |            |PX    Her
QQ Her    |x|18 12 44.71|+38 48 02.0|RRAB      |13.700|29705.58200|    0.6236810000|                 |            |QQ    Her
V0338 Her |*|17 53 12.74|+43 46 23.2|EA/SD     |10.070|43691.12300|    1.3057393000|F1V              |            |V0338 Her
V0342 Her |*|18 24 13.00|+25 04 50.7|EB/SD:    |10.500|35693.44000|    0.8517300000|F2               |            |V0342 Her
V0347 Her |*|18 44 57.90|+23 03 15.4|RRAB      |13.500|36104.27000|    0.5373136000|                 |            |V0347 Her
V0349 Her |x|16 28 09.35|+44 21 42.7|RRAB      |14.100|34530.45800|    0.6201700000|                 |            |V0349 Her
V0357 Her |x|18 44 31.80|+12 55 32.2|DSCT      |13.200|29407.51900|    0.1397250000|                 |            |V0357 Her
V0359 Her |*|16 56 28.71|+37 39 18.9|EA/SD     |10.200|43673.43200|    1.7557350000|F0               |            |V0359 Her
V0362 Her |*|16 30 39.50|+23 26 41.9|RRAB      |13.300|39098.44700|    0.7182970000|                 |            |V0362 Her
V0365 Her |*|17 05 39.86|+21 30 58.0|RRAB      |12.700|29037.43800|    0.6131380000|                 |            |V0365 Her
V0366 Her |x|17 07 04.91|+27 37 47.4|EA/SD     |12.200|27571.46500|    2.7583250000|                 |            |V0366 Her
V0381 Her |x|17 16 11.06|+20 51 19.0|EA/SD     |12.600|30431.53500|    1.3462560000|                 |            |V0381 Her
V0387 Her |*|17 18 47.05|+20 14 30.6|EB/KE     |12.800|28314.41500|    0.5894719000|                 |            |V0387 Her
V0392 Her |x|17 20 51.41|+26 32 20.4|RRAB      |12.800|28662.43300|    0.5297446000|                 |            |V0392 Her
V0394 Her |*|17 22 38.72|+17 53 04.7|RRAB      |12.200|29747.50400|    0.4360573000|                 |            |V0394 Her
V0397 Her |x|17 23 08.20|+22 39 29.9|RRAB      |13.800|29399.39600|    0.5562247000|                 |            |V0397 Her
V0418 Her |x|17 32 13.01|+18 14 00.6|RRAB      |12.600|29322.58500|    0.3762347000|                 |            |V0418 Her
V0424 Her |x|17 34 43.86|+17 57 17.2|RRAB      |13.700|29322.59800|    0.6307071000|                 |            |V0424 Her
V0434 Her |x|17 40 33.01|+22 49 02.3|RRAB      |13.800|29037.35800|    0.5144034000|                 |            |V0434 Her
V0442 Her |*|18 12 58.32|+42 03 45.5|RRAB      |12.500|35730.55000|    0.4420840000|                 |            |V0442 Her
V0447 Her |x|16 24 51.66|+44 10 26.5|RR        |13.500|36344.50500|    0.5325319000|                 |            |V0447 Her
V0448 Her |x|16 42 38.66|+39 52 45.3|RRAB      |13.000|36372.35700|    0.6535290000|                 |            |V0448 Her
V0450 Her |x|16 44 09.42|+34 12 30.5|EA/D      |10.100|25687.56500|    0.9127290000|A0               |            |V0450 Her
V0458 Her |*|17 08 30.92|+18 31 14.2|RRC       |13.200|27719.24400|    0.3599801000|                 |            |V0458 Her
V0461 Her |x|17 10 49.24|+12 52 50.8|RR        |13.000|36758.47800|    0.5130100000|                 |            |V0461 Her
V0467 Her |x|17 12 50.80|+25 01 48.5|RRAB      |13.900|29402.47200|    0.6835066000|                 |            |V0467 Her
V0469 Her |x|17 14 10.58|+19 45 29.1|RRAB      |13.800|27719.29200|    0.5964724000|                 |            |V0469 Her
V0484 Her |x|17 25 31.90|+20 47 05.8|RRAB      |13.400|27599.49500|    0.5936897000|                 |            |V0484 Her
V0486 Her |x|17 26 38.37|+26 56 17.7|RRAB      |12.800|27543.57100|    0.8059317000|                 |            |V0486 Her
V0489 Her |x|17 29 02.84|+20 38 16.5|RRAB      |14.000|29022.52700|    0.5753114000|                 |            |V0489 Her
V0490 Her |x|17 29 38.80|+22 49 10.8|EA/SD     |13.900|27543.42100|    1.4966132000|                 |            |V0490 Her
V0502 Her |*|17 35 49.34|+32 20 54.5|EW/KW     |12.800|30938.49300|    0.3692768000|                 |            |V0502 Her
V0514 Her |x|17 40 56.91|+24 02 56.2|RRAB      |13.600|27550.53000|    0.6339664000|                 |            |V0514 Her
V0521 Her |x|17 43 44.02|+23 00 12.8|RRAB      |13.800|29022.53200|    0.4792011000|                 |            |V0521 Her
V0523 Her |*|17 53 26.23|+31 42 48.0|RRAB      |14.100|30940.44700|    0.3842000000|                 |            |V0523 Her
V0541 Her |x|16 24 05.04|+18 48 24.4|RRAB      |14.000|38503.54100|    0.5682270000|                 |            |V0541 Her
V0545 Her |x|16 38 49.41|+24 51 47.1|RRAB      |14.000|38495.50600|    0.5981080000|                 |            |V0545 Her
V0595 Her |x|16 32 27.66|+19 03 38.4|RRAB      |13.600|38495.48300|    0.4996370000|                 |            |V0595 Her
V0599 Her |x|16 36 30.29|+26 32 13.9|RRAB      |14.100|38558.44400|    0.7506180000|                 |            |V0599 Her
V0616 Her |x|16 50 13.98|+19 03 42.2|RRAB      |14.000|38854.54300|    0.6134280000|                 |            |V0616 Her
V0619 Her |x|17 06 21.14|+31 53 18.9|RRAB      |13.300|41421.47000|    0.5466300000|                 |            |V0619 Her
V0620 Her |x|17 11 03.16|+24 14 15.7|DSCTC     | 6.190|           |    0.0797000000|A8V              |            |V0620 Her
V0623 Her |x|17 43 15.85|+16 45 52.4|RRAB      |14.000|38532.52500|    0.4862900000|F8               |            |V0623 Her
V0633 Her |x|18 33 22.84|+13 22 22.9|RRAB      |13.000|29114.47600|    0.4899940000|                 |            |V0633 Her
V0635 Her |x|16 42 29.62|+49 42 58.1|RRAB      |13.500|27927.40000|    0.4994920000|                 |            |V0635 Her
V0643 Her | |18 33 09.85|+23 22 50.7|EA/SD     |13.500|36069.38600|    1.2231100000|                 |            |V0643 Her
V0644 Her |*|16 55 15.99|+13 37 11.7|DSCTC     | 6.320|           |    0.1150544900|F2IV             |            |V0644 Her
V0646 Her |x|17 05 48.74|+33 35 18.6|RRAB      |13.600|40396.44600|    0.5449850000|                 |            |V0646 Her
V0648 Her |x|17 32 25.17|+26 26 22.1|DSCTC     | 6.860|           |    0.2900000000|A7V              |            |V0648 Her
V0650 Her |x|16 29 07.78|+19 06 22.6|RRAB      |13.000|39444.43200|    0.5188680000|                 |            |V0650 Her
V0652 Her |*|16 48 04.70|+13 15 42.5|*         |10.500|42216.80500|    0.1080018200|B1               |            |V0652 Her
V0677 Her |x|16 08 04.15|+24 59 20.2|RRAB      |13.200|40129.60300|    0.4757160000|                 |            |V0677 Her
V0683 Her |x|16 12 22.48|+22 13 19.1|RRAB      |14.100|39639.20900|    0.5360680000|                 |            |V0683 Her
V0686 Her |x|16 14 23.27|+17 56 35.2|RRAB      |13.400|39432.82200|    0.5109870000|                 |            |V0686 Her
V0692 Her |x|16 22 18.17|+26 22 32.7|RRAB      |14.100|40073.60500|    0.7366790000|                 |            |V0692 Her
V0694 Her |x|16 25 32.23|+22 05 04.8|RRAB      |13.600|39361.77000|    0.7100060000|                 |            |V0694 Her
V0695 Her |x|16 25 58.64|+17 42 52.2|RRAB      |13.800|39380.48000|    0.6787880000|                 |            |V0695 Her
V0698 Her |x|16 29 31.16|+18 29 44.0|RRAB      |13.700|38533.41600|    0.5361470000|                 |            |V0698 Her
V0713 Her |x|16 51 49.34|+41 07 44.4|RRAB      |14.100|41597.22000|    0.6102020000|                 |            |V0713 Her
V0715 Her |x|17 05 11.93|+47 59 13.3|RRAB      |13.800|41567.21400|    0.6411640000|                 |            |V0715 Her
V0716 Her |x|17 07 11.41|+45 49 26.3|RRAB      |13.900|41596.21400|    0.7143900000|                 |            |V0716 Her
V0718 Her |*|17 07 40.56|+46 29 00.0|EW/KW     |13.900|41604.25200|    0.4588788000|                 |            |V0718 Her
V0719 Her |*|17 09 52.58|+42 56 08.1|RRC:      |12.500|41598.27800|    0.3358700000|                 |            |V0719 Her
V0724 Her |x|17 11 09.65|+42 33 59.3|RRAB      |14.100|41618.23400|    0.6401710000|                 |            |V0724 Her
